[0.000000] (-) TimerEvent: {}
[0.011501] (-) JobUnselected: {'identifier': 'br2_basics'}
[0.011978] (-) JobUnselected: {'identifier': 'br2_bt_bumpgo'}
[0.012141] (-) JobUnselected: {'identifier': 'br2_bt_patrolling'}
[0.012252] (-) JobUnselected: {'identifier': 'br2_fsm_bumpgo_cpp'}
[0.012378] (-) JobUnselected: {'identifier': 'br2_fsm_bumpgo_py'}
[0.012508] (-) JobUnselected: {'identifier': 'br2_navigation'}
[0.012613] (-) JobUnselected: {'identifier': 'br2_tf2_detector'}
[0.012716] (-) JobUnselected: {'identifier': 'br2_tiago'}
[0.012829] (-) JobUnselected: {'identifier': 'br2_tracking'}
[0.013055] (-) JobUnselected: {'identifier': 'br2_tracking_msgs'}
[0.013171] (-) JobUnselected: {'identifier': 'br2_vff_avoidance'}
[0.013305] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.013535] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.013602] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.013661] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.013720] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.013783] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.013841] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.013906] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.014021] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.014119] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.015594] (-) JobUnselected: {'identifier': 'groot'}
[0.016576] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.018809] (-) JobUnselected: {'identifier': 'hey5_description'}
[0.020254] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.024158] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.024750] (-) JobUnselected: {'identifier': 'joint_state_controller'}
[0.025063] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.025220] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.025311] (-) JobUnselected: {'identifier': 'pal_gazebo_worlds'}
[0.025475] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.025568] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.025630] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.025692] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.025747] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.025829] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.025919] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.025972] (-) JobUnselected: {'identifier': 'pmb2_maps'}
[0.026023] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.026070] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.026116] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.026169] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.026260] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.026354] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.026728] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.026912] (-) JobUnselected: {'identifier': 'tiago_2dnav_gazebo'}
[0.027015] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.027097] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.027179] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.027283] (-) JobUnselected: {'identifier': 'tiago_description_calibration'}
[0.027394] (-) JobUnselected: {'identifier': 'tiago_gazebo'}
[0.027451] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.028494] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.028596] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.028661] (-) JobUnselected: {'identifier': 'twist_mux'}
[0.028725] (-) JobUnselected: {'identifier': 'urdf_test'}
[0.028786] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.028873] (-) EventReactorShutdown: {}
